Title,Price,No. Reviews,Display size,Storage type,CPU Speed,RAM,Rating
"ASUS ZenBook UM425 Full HD 14"" Ultrabook Laptop (AMD Ryzen 7-4700U, 16GB RAM, 512GB SSD, Backlit Keyboard, Windows 10) Includes LED Numbered Trackpad",739.99,103,14 in,SSD,2 GHz,16 GB,4.4 out of 5 stars
"Lenovo IdeaPad 1i 11.6 Laptop - Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 10S, Platinum Grey + Office 365 Personal",199.99,6,11.6 in,SSD,4.7 GHz,4 GB,3.2 out of 5 stars
"ASUS VivoBook M413IA 14 inch Full HD Laptop (AMD Ryzen 7-4700U, 8GB RAM, 512GB SSD, Wi-Fi 6, Windows 10), Black",599.99,729,14 in,SSD,2 GHz,8 GB,4.5 out of 5 stars
TECLAST F7 Plus 14 Inch Laptop 8GB RAM 256GB SSD FHD Intel Geminil Lake N4100 Quad Core Metal Body 64 Bit Windows 10 Computer PC Notebook Support 512 GB TF Card 1T M.2 SSD 1920x1080 IPS Display,399.99,221,14.1 in,SATA,2.4 GHz,8 GB,3.8 out of 5 stars
Jumper 2-in-1 Touch screen Laptop With Microsoft 365 11.6 inch FHD Touchscreen Laptop 4GB DDR4 64GB eMMC Intel Celeron Quad Core CPU Windows 10 Tablet PC British Keyboard USB3.O,299.99,292,11.6 in,eMMC,1.1 GHz,4 GB,4.1 out of 5 stars
"Microsoft Surface Laptop Go Ultra-Thin 12.4” Touchscreen Laptop (Platinum) - Intel 10th Gen Quad Core i5, 4GB RAM, 64GB eMMC, Windows 10 Home in S Mode, 2020 Edition",549.0,118,12.4 in,SSD,3.6 GHz,64 GB,4.5 out of 5 stars
"NBD Laptop 14 inch Windows 10 Netbook,4 GB RAM, 64 GB eMMC,Support 256GB TF card and 1TB SSD Expansion,Laptops equipped with Laptop Bag, Mouse, Mouse Pad & Headphone",265.0,4,14 in,SATA,1.1 GHz,4 GB,5.0 out of 5 stars
"ASUS ZenBook UX434FQ 14 Inch Full HD Touchscreen Laptop (Intel Core i7, Nvidia MX350 Graphics, 16 GB RAM, 512 GB SSD, Windows 10) Includes Secondary Trackpad Screen",899.99,103,14 in,Flash Memory Solid State,1.8 GHz,16 GB,4.4 out of 5 stars
Jumper EZbook X1 11.6 Inch Laptop 6GB RAM 128GB eMMC Touch Screen 360 Degrees Tablet PC Ultrabook PC Windows 10 Intel Celeron Quad Core Processor Supports 256GB TF Card and 1TB SSD Extension,319.99,412,11.6 in,eMMC,1.1 GHz,6 GB,4.3 out of 5 stars
Samsung Galaxy Book Ion 15.6 Inch 8 GB Intel Core i5-10210U Processor Laptop - Aura Silver (UK Version),1099.0,93,15.6,Flash Memory Solid State,1.6 GHz,8 GB,4.6 out of 5 stars
"Microsoft Surface Laptop Go Ultra-Thin 12.4” Touchscreen Laptop (Platinum) - Intel 10th Gen Quad Core i5, 8GB RAM, 128GB SSD, Windows 10 Home in S Mode, 2020 Edition",629.0,118,12.45 in,Flash Memory Solid State,3.6 GHz,8 GB,4.5 out of 5 stars
"14.1"" Full HD Windows 10 Laptop - 4GB RAM, T90B+ Pro Model Lapbook, Intel 64-bit USB 3.0, 5GHz WIFI (Dual-Band WIFI) 2x WIFI speeds, Supports 256GB tf-card and 1TB HDD (64GB)",259.95,"3,438",14.1 in,SSD,1.44 GHz,4 GB,4.0 out of 5 stars
"HP OMEN 15-en0008na 15.6 Inch Full HD, 144 Hz Gaming Laptop, AMD Ryzen 7 4800H, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 2060 (6 GB Dedicated) Graphics, Windows 10 Home - Mica Silver",1199.99,307,15.6 in,Flash Memory Solid State,2.9 GHz,16 GB,4.6 out of 5 stars
"Jumper Laptop with Microsoft Office 365, 13.3 inches FHD Computer PC 4GB RAM 64GB eMMC (Intel Celeron CPU, Windows 10, Dual-band WiFi, USB3.0) Support 256GB TF card and 1TB SSD Expansion",229.49,"3,425",13.3 in,eMMC,1.1 GHz,4 GB,4.2 out of 5 stars
"Acer Swift 1 SF114-32 14 inch Laptop - (Intel Pentium N5000, 4GB RAM, 128GB SSD, Full HD Display, Windows 10 in S Mode, Silver)",399.99,370,14,Flash Memory Solid State,1.1 GHz,4 GB,4.6 out of 5 stars
"ASUS VivoBook with Microsoft Office 365 A416MA 14 inch Full HD Laptop (Intel Pentium N5030, 4GB RAM, 128GB SSD, Windows 10) Includes 1 year Microsoft Office",349.99,135,14 in,SSD,1.1 GHz,4 GB,4.1 out of 5 stars
GeoFlex 110 Convertible Laptop and Tablet 11.6-inch HD Touchscreen Windows 10 Intel Celeron 4GB RAM,199.0,2,11.6 in,eMMC,1.1 GHz,4 GB,5.0 out of 5 stars
"Jumper EZbook X3 6GB 64GB eMMC Laptop Windows 10 Thin and Light Laptop 13.3 inch FHD Computer PC, Intel Apollo Lake N3350 CPU,Support 128GB TF Card and SSD Expansion-Comes with British Keyboard Film",219.99,629,13.3 in,eMMC,1.1 hertz,4 GB,4.1 out of 5 stars
"ASUS VivoBook S413EA Full HD 14 Inch Metal Laptop (Intel Quad-Core i5-1135G7, 16 GB RAM, 512 GB SSD, Backlit Keyboard, Wi-Fi 6, Windows 10) Includes LED Number Trackpad",599.99,135,14 in,SSD,2.4 GHz,16 GB,4.1 out of 5 stars
"New Lenovo Quad Turbo Laptop, 20GB RAM, 500GB SSD, RX Vega 3 Graphics, Win 10 Pro, Office 2019",738.88,18,15.6 in,SSD,3.5 GHz,20 GB,4.9 out of 5 stars
